architecture,best_epoch,case_id,elapsed_seconds,external_real_nrmse,external_real_peak_abs_physical,external_real_peak_are,external_real_rmse_physical,external_zero_nrmse,external_zero_peak_abs_physical,external_zero_peak_are,external_zero_rmse_physical,formal_real_nrmse,formal_real_peak_abs_physical,formal_real_peak_are,formal_real_rmse_physical,formal_zero_nrmse,formal_zero_peak_abs_physical,formal_zero_peak_are,formal_zero_rmse_physical,fusion,loss_profile,seed,sensor_training,target
sacno,1,N00_SACNO_BASIC_B0_SEED42,3.811835527420044,,,,,0.17463039606809616,7.720425486564636,79.65920763609179,1.0328769236803055,,,,,0.16670767590403557,9.249525636434555,80.30083647346541,1.0703019499778748,coord_attention,basic,42,separate_zero,accel_abs
sacno,1,N01_SACNO_BASIC_B1_SEED42,5.214449882507324,0.1706148274242878,7.7895455956459045,80.43739820359866,1.0072742998600006,,,,,0.1622370220720768,9.32548651099205,81.11700674805385,1.0432797074317932,,,,,coord_attention,basic,42,separate_real,accel_abs
